ID,FirstName,LastName,Country,DateJoined,Gender,Birthday,Newsletter
70,Chri0.262792235981156,Pra0.312188652293051,UK - United Kingdom,2016-02-12,M,1978-09-29,N
71,Dori0.651764637216485,Mo0.72630096838117,FR - France,2016-02-15,,1986-11-17,N
72,H0.837945831819166,Tee0.911183991083086,FR - France,2016-02-16,,2004-12-05,Y
73,S0.610700727786202,H0.0567926355312666,GER - Germany,2016-02-17,,1968-02-14,Y
74,Jon0.98318817983107,Ba0.31835388860688,IT - Italy,2016-02-18,F,1990-05-22,N
75,R0.3194530920896,P0.719484341925099,FR - France,2016-02-22,M,1994-10-25,N
76,Boo0.966036470375133,S0.656943066923471,GER - Germany,2016-02-22,M,1977-04-23,Y
77,Em0.0315858979051229,Ga0.280268208764046,IT - Italy,2016-02-23,,1999-10-27,Y
78,S0.0459318526411299,Sus0.413853592780084,FR - France,2016-02-25,,1992-03-17,Y
79,Vito0.473767776920563,Ch0.541612997227045,GER - Germany,2016-02-26,,2005-12-16,Y
80,Dyan0.0753509180094312,Yan0.118798961039949,IT - Italy,2016-02-26,F,1967-07-12,N
81,M0.708365351810405,B0.365610758629277,FR - France,2016-02-26,F,2010-08-29,Y
82,Shai0.635804693864282,Abe0.178735249518371,IT - Italy,2015-04-08,F,1991-07-06,N
83,Nor0.654492807594069,Aed0.736415380862133,FR - France,2016-02-29,F,1980-11-20,Y
84,Fre0.0399585033127277,Gell0.476920335941667,IT - Italy,2015-04-08,M,1972-10-02,N
85,Benj0.571255042601124,Q0.0769711049060214,GER - Germany,2016-03-01,M,1993-11-17,Y
86,H0.111060503131326,Peg0.43325601642803,FR - France,2016-03-01,F,1997-09-11,N
87,Don0.295275463958166,Lagma0.853266430099858,IT - Italy,2015-04-08,,1983-09-14,Y
88,Chee0.783703722029993,Di0.750735719050267,IT - Italy,2015-04-08,F,1981-08-18,N
89,R0.90690897940996,Wati0.500333185769678,FR - France,2016-03-02,M,1996-08-04,Y
90,Renu0.371801959158414,Arum0.602335766659887,GER - Germany,2016-03-02,F,1971-04-15,Y
91,Chen 0.868259804594092,L0.104646531512644,FR - France,2016-03-03,F,1974-02-20,N
92,Gin0.374422605727359,Tai0.841375001009667,GER - Germany,2016-03-04,F,1999-12-29,Y
93,Hui0.779255774567366,Loc0.327988971912919,GER - Germany,2016-03-07,F,1990-09-16,N
94,Poh 0.0560150636508545,Chong0.0270662213414498,GER - Germany,2016-03-08,F,1969-10-26,Y
95,Davi0.517840434497972,Budiy0.248876697461679,UK - United Kingdom,2016-03-09,F,1967-05-01,N
96,Lo0.0825472494983946,L0.311354105358557,FR - France,2016-03-09,F,2001-10-05,Y
97,Ken0.898191937642296,Y0.834776378193944,FR - France,2016-03-10,M,2001-01-05,N
98,An0.949200662426156,Anes0.408526733346012,GER - Germany,2016-03-10,M,1970-03-07,N
99,S0.926405611473182,L0.289615493217618,GER - Germany,2016-03-11,M,2008-11-11,N
100,Cla0.364683776834374,Cruz0.493143180027335,IT - Italy,2016-03-16,M,1991-03-13,Y
101,Pr0.565199250502483,Bana0.192086378312589,IT - Italy,2016-03-17,M,2002-12-01,N
102,T0.246839493066474,J0.670877886522423,IT - Italy,2016-03-17,,1984-10-25,Y
103,Ann0.719216593513293,Vam0.106794483979939,GER - Germany,2016-03-18,F,2009-12-02,Y
104,Muha0.00774308391308265,Chau0.94417270956675,FR - France,2016-03-18,F,1968-09-26,Y
105,Ap0.494431098769143,M0.344151738947981,UK - United Kingdom,2016-03-21,M,1993-01-18,N
106,Xing0.325721670148887,Ong0.332374624629349,GER - Germany,2016-03-21,F,1993-06-02,Y
107,U0.276752998060789,Ng0.753960335680345,FR - France,2016-03-22,F,1989-07-11,N
108,Ch0.237920427031177,Loh0.791222685855633,FR - France,2016-03-22,M,1967-07-25,N
109,J0.855646496424537,W0.775201627445077,GER - Germany,2016-03-22,M,1988-07-10,Y
110,Ja0.713566696348558,Y0.88369497014745,FR - France,2016-03-22,M,1988-12-10,N
111,Erwin0.85102773190189,To0.651722719544374,IT - Italy,2016-03-22,M,1966-03-15,Y
112,M0.905819310421999,N0.116489132130425,FR - France,2016-03-23,,1995-05-24,N
113,Mr0.592906730449592,Tan0.662463855720801,GER - Germany,2015-04-10,,1965-09-17,Y
114,Celin0.498684223052738,Drie0.584238912021378,GER - Germany,2016-03-28,F,1989-03-18,Y
115,Heyve0.91330060337671,Fu0.528640434372678,IT - Italy,2016-03-29,,1997-12-24,N
116,Zai0.595706337632304,Abid0.295910917248143,FR - France,2016-03-31,M,1989-09-04,N
117,Greng0.766350302696368,Moral0.477384661388323,IT - Italy,2016-03-31,M,1984-11-26,Y
118,M0.905819310421999,N0.116489132130425,FR - France,2016-03-31,,1997-01-26,Y
119,Moham0.29322804887907,Ra0.0829396746677095,GER - Germany,2016-04-01,M,1969-04-05,N
120,BS0.111073979637015,Yeh0.236761325704009,GER - Germany,2016-04-01,M,2003-03-06,Y
121,Mark0.175867414305624,Co0.711854763406318,IT - Italy,2016-04-04,M,2002-02-08,N
122,Viann0.361027239251335,Thon0.10324190909523,GER - Germany,2016-04-04,M,1983-09-05,N
123,T0.0935959278921034,Oi0.0418616014049427,FR - France,2016-04-06,M,2000-10-18,Y
124,Min0.727133932239824,W0.775201627445077,GER - Germany,2016-04-06,,2009-06-07,N
125,Asia0.763499421598121,Chan0.727240905288105,IT - Italy,2016-04-06,,1988-09-28,Y
126,Test0.619791443082027,Test0.390581071558474,GER - Germany,2015-03-02,M,2010-04-25,N
127,Sunny0.250736635890978,Singh0.61966184429354,UK - United Kingdom,2016-04-11,F,1991-09-02,Y
128,J0.00419522710091602,Mural0.50237221956704,GER - Germany,2016-04-12,,1983-07-01,N
129,Sylvi0.297592802683295,Chan0.727240905288105,FR - France,2015-04-14,,1983-03-16,Y
130,Ke0.79153006295884,Lim0.185633050851678,FR - France,2016-04-12,,1985-02-14,N
131,Myrie0.394072696931545,Toc0.570244165427107,IT - Italy,2016-04-12,,1997-05-06,N
132,Za0.264090165288088,Moham0.0462860464259738,FR - France,2016-04-13,M,2000-06-15,Y
133,Nor0.926517211455672,Bo0.842334985898182,FR - France,2016-04-14,F,1998-10-15,Y
134,Joan0.803102148706192,W0.329536336973779,GER - Germany,2016-04-14,,1995-07-14,N
135,Moe0.689431117605737,Kyaw0.838254317242562,GER - Germany,2016-04-15,M,1997-04-04,Y
136,S0.68675136710534,Lim0.185633050851678,GER - Germany,2016-04-15,,1983-05-28,Y
137,L0.92453871269312,Olip0.586740003675797,IT - Italy,2016-04-18,F,1965-01-20,N
138,Munir0.543714510685389,Bah0.327151211426037,FR - France,2016-04-18,,1997-01-04,N
139,Y0.522732465639696,Zh0.559146969588539,GER - Germany,2016-04-18,M,1977-11-06,Y
140,Benj0.571255042601124,Ng0.753960335680345,GER - Germany,2015-04-15,F,1993-07-12,N
141,Jo0.567101387255942,Dizer0.42268068602925,IT - Italy,2015-03-09,M,1972-07-29,Y
142,t0.887532593675921,te0.450048410445967,GER - Germany,2015-11-01,M,1981-03-01,N
143,Fran0.888941607603163,Mi0.758622896871541,UK - United Kingdom,2016-04-21,F,1977-03-28,Y
144,Ric0.12434077974775,Tamo0.747855032136146,IT - Italy,2015-03-09,M,1993-02-26,N
145,Lady0.490721909998519,D0.694988151905031,GER - Germany,2016-04-22,F,1969-01-16,N
146,Arie0.385168815228304,Set0.99190709918135,UK - United Kingdom,2016-04-22,,1988-04-07,N
147,Tay M0.624172327094571,W0.0803040957917238,FR - France,2016-04-22,,1996-12-23,N
148,Effen0.462765445357422,Wira0.171953849880869,UK - United Kingdom,2016-04-25,F,1992-09-27,N
149,Zanie0.408531992458524,K0.656478865063565,IT - Italy,2016-04-25,,1983-03-13,Y
150,Debor0.34334659371696,Deb0.463872518605751,GER - Germany,2016-04-26,M,1990-01-15,N
151,Nor0.898117028043004,Oyen0.25710613876088,IT - Italy,2015-03-09,,1995-08-27,Y
152,Iri0.968676870743935,Sal0.665809544921122,IT - Italy,2015-03-09,M,1976-04-01,N
153,Jean0.233655309809523,Ang0.128149197304773,FR - France,2015-04-16,,1974-09-27,Y
154,Ch0.81226495498516,Lo0.214781069325519,FR - France,2015-04-16,F,1986-12-23,Y
155,S0.923679049547204,W0.0803040957917238,FR - France,2015-04-16,,1978-01-12,Y
156,SARIN0.661833023129508,HAS0.742703282046466,FR - France,2015-04-16,F,1999-12-24,Y
157,YUH 0.936059001622759,H0.18251437449923,FR - France,2015-04-16,F,1969-01-25,Y
158,Cat0.177977835116668,Tan0.662463855720801,GER - Germany,2016-04-27,M,2010-07-27,N
159,L0.989737072633683,Enday0.595405298269278,IT - Italy,2015-04-16,,1986-07-08,N
160,Ra0.654088173823888,H0.18251437449923,FR - France,2016-04-27,,1999-12-05,Y
161,Ju0.0689530575934519,S0.0974191067432206,IT - Italy,2015-04-16,F,1979-04-22,Y
162,Sop0.420749162993465,A0.675472525815267,FR - France,2015-04-16,,1982-10-25,Y
163,Jimmy0.782411792439958,Ri0.440484386090694,IT - Italy,2016-04-28,,1978-05-13,N
164,Bong0.664269977536141,Had0.0567484153126435,IT - Italy,2016-04-28,,2008-02-15,Y
165,Marvi0.0436798281897413,Pizar0.224741565019003,IT - Italy,2015-03-10,M,1980-06-11,N
166,Fern0.180060029060372,Medin0.634042769916507,IT - Italy,2016-05-03,F,1976-12-11,Y
167,Y0.694526245425698,Pur0.889218979929135,UK - United Kingdom,2015-04-16,M,1972-03-23,Y
168,Ram0.653308530677119,Co0.622648425601321,IT - Italy,2015-03-10,,2005-12-23,Y
169,Eri0.355807972430302,Lim0.185633050851678,FR - France,2016-05-04,M,2007-04-28,N
170,Fa0.379316667979345,M0.165596081234709,FR - France,2016-05-05,,2007-02-25,Y
171,Rad0.263945067414972,Singh0.61966184429354,GER - Germany,2016-05-05,F,1983-04-06,Y
172,Kath0.723617856439127,Tan0.662463855720801,FR - France,2016-05-05,,1983-08-02,Y
173,Eri0.355807972430302,Lim0.185633050851678,FR - France,2016-05-05,M,1989-11-07,Y
174,Sebas0.193409411438901,Mar0.803668699456616,UK - United Kingdom,2016-05-09,F,2003-11-18,Y
175,Sun0.348310672180019,Cho0.148362855059041,UK - United Kingdom,2016-05-10,,2008-11-03,Y
176,H0.831344652904412,S0.983454353631673,UK - United Kingdom,2016-05-10,F,1965-03-12,N
177,Lyvia0.584020971073838,Kh0.766529502176661,FR - France,2016-05-11,,2010-11-27,N
178,Mr. 0.0857018872242584,Pal0.680699261397053,IT - Italy,2015-04-20,F,1973-12-12,N
179,Mr. K0.307030165010391,Re0.991971546843845,FR - France,2015-04-20,M,1981-01-04,N
180,Mia0.899130524577226,A0.776992684477354,IT - Italy,2016-05-12,F,1966-06-15,N
181,Mic0.549094726985715,Pa0.310731103925049,IT - Italy,2015-04-20,,1976-06-22,Y
182,Maxen0.858206562657671,Ong0.332374624629349,IT - Italy,2016-05-13,F,1993-09-29,Y
183,MJ0.582988843706287,Arao0.82605343690052,IT - Italy,2015-03-11,M,1966-01-05,Y
184,Ar0.983156360033471,Rob0.62653524620112,IT - Italy,2015-03-11,F,1998-10-01,Y
185,Kyl0.395663953129885,Lim0.185633050851678,FR - France,2016-05-16,M,1969-06-25,Y
186,He0.936026327871086,Chen0.730908279838007,UK - United Kingdom,2016-05-18,,1998-12-13,N
187,Sa0.0968096987492038,Ca0.514110033082809,IT - Italy,2015-03-11,F,1995-09-15,N
188,Zufi0.783166700169605,M0.165596081234709,FR - France,2016-05-19,M,1996-10-08,Y
189,Hui0.955352532475053,Jua0.61533349180126,GER - Germany,2016-05-19,F,1998-01-11,Y
190,Hui0.955352532475053,J0.496770063638712,GER - Germany,2016-05-20,M,1999-07-25,Y
191,Zufi0.783166700169605,M0.165596081234709,FR - France,2016-05-20,F,1969-08-21,Y
192,Wong0.810790234168482,A0.975737085374267,GER - Germany,2016-05-20,,1993-07-20,N
193,Ker0.253084597702031,Co0.711854763406318,IT - Italy,2015-03-11,,1971-06-05,Y
194,Joan0.763117653219514,Mal0.364224702968944,UK - United Kingdom,2015-04-21,,1974-01-11,N
195,Had0.724651186958294,W0.00101597070277404,UK - United Kingdom,2016-05-23,M,2007-09-02,Y
196,R0.644598442748862,Pay0.5879337913752,IT - Italy,2015-03-11,F,1972-06-11,Y
197,Te0.376409790165951,Ooi0.679136891606665,FR - France,2016-05-25,F,1969-01-07,N
198,Jeane0.0616080877516783,Wonok0.173576938485585,UK - United Kingdom,2016-05-25,M,1999-07-16,N
199,Lo0.844161260986557,Bauti0.80287986247552,IT - Italy,2016-05-26,M,1994-07-24,N
200,Josie0.191023612457208,Suli0.170935219923388,IT - Italy,2016-05-26,M,1978-01-14,N
201,Glady0.446695139688294,Go0.903752678742211,IT - Italy,2016-05-26,,1995-07-14,Y
202,T0.569039990100325,Twee0.0550826791503999,GER - Germany,2016-05-26,,2008-05-01,N
203,Gr0.64472709487717,Chu0.306978358145085,IT - Italy,2015-03-11,M,1985-07-15,Y
204,J0.167623099351821,V0.439832459143598,IT - Italy,2016-05-27,F,1998-09-08,Y
205,Game0.0759807869153497,Th0.476931960430781,FR - France,2016-05-30,M,1983-06-10,N
206,Reme0.788049659450378,Masi0.0816693804699627,IT - Italy,2015-03-11,F,1997-03-10,Y
207,Ger0.56336553110969,Chu0.722654062648687,IT - Italy,2016-05-30,,1983-01-08,Y
208,Ire0.494638290488119,C0.904031452999789,IT - Italy,2016-05-30,M,1988-04-20,Y
209,S0.602650502988547,Ha0.587228259251012,FR - France,2016-05-31,,2004-06-13,N
210,Hel0.431822429959466,Ramir0.507599413750235,IT - Italy,2016-05-31,M,1968-04-07,Y
211,Mich0.840971087678423,Aber0.398531701070212,IT - Italy,2015-03-11,F,1989-05-05,Y
212,R0.485113301937092,Di0.695095165767531,UK - United Kingdom,2016-06-01,M,1966-11-19,Y
213,Ngad0.249019579265392,Ngad0.799391667231705,UK - United Kingdom,2016-06-01,F,1982-06-14,Y
214,Le0.972256660755116,-0.793095850214827,FR - France,2016-06-01,F,1967-04-14,Y
215,Hen0.355561714373981,T0.0682195744481245,UK - United Kingdom,2016-06-01,,1995-08-12,N
216,Mar0.415084540834882,Domen0.609038525941442,GER - Germany,2016-06-02,F,1994-08-05,Y
217,Low0.694550601655666,-0.793095850214827,FR - France,2016-06-02,,1991-05-23,N
218,You0.513191092412527,Sh0.693716979723066,FR - France,2016-06-02,M,1991-05-17,N
219,Max0.265085997027976,L0.104646531512644,FR - France,2016-06-02,M,1997-10-19,Y
220,Vince0.78241795130866,Tan0.662463855720801,FR - France,2016-06-02,F,2003-03-08,N
221,Pa0.793373163869536,Lim0.185633050851678,FR - France,2016-06-02,M,2003-07-15,Y
222,R0.644598442748862,KU0.427178282889728,FR - France,2016-06-02,M,1974-05-01,N
223,Mahm0.806841812820085,Zulki0.744607780177088,FR - France,2016-06-02,M,2002-08-14,Y
224,Hen0.643363255282557,Chong0.0270662213414498,FR - France,2016-06-02,F,1993-08-07,Y
225,B0.47099750092135,Lim0.185633050851678,FR - France,2016-06-02,,1983-11-20,N
226,St0.55339238137759,Ng0.753960335680345,FR - France,2016-06-02,,1974-12-03,N
227,Lim0.438479949663823,Hai H0.388714862622629,FR - France,2016-06-02,F,1995-12-25,N
228,Yu0.253025903544744,A0.487198513062857,FR - France,2016-06-02,F,2005-02-21,Y
229,Caro0.615832603919648,Y0.834776378193944,FR - France,2016-06-02,M,1999-09-05,N
230,L0.910801333279466,L0.104646531512644,FR - France,2016-06-02,,1980-08-01,N
231,Eun0.571091959012614,L0.104646531512644,FR - France,2016-06-02,M,1966-10-02,N
232,Ra0.125211786524719,Din0.750796466182536,FR - France,2016-06-02,,1981-10-02,Y
233,Vince0.78241795130866,Cho0.755116752376421,FR - France,2016-06-02,M,1970-02-08,Y
234,V0.296680287495188,Han0.950205996775814,FR - France,2016-06-02,M,1989-06-16,N
235,Davi0.517840434497972,Chia0.705892470611562,FR - France,2016-06-02,F,1970-02-14,N
236,Haz0.00764028013530615,Isa0.999512218998231,FR - France,2016-06-02,F,2003-08-15,Y
237,B0.106989282878803,Cho0.755116752376421,FR - France,2016-06-02,M,1979-08-05,Y
238,Ms0.57460246590252,Foo0.430048689006171,FR - France,2016-06-02,M,2007-04-01,N
239,Salwa0.00719561948986469,Hasan0.839683709560147,FR - France,2016-06-02,F,2003-06-08,N
240,Mich0.840971087678423,Herm0.0551046097836213,FR - France,2016-06-02,,1994-09-07,Y
241,Lawr0.856518076032938,Ng0.753960335680345,FR - France,2016-06-02,M,1995-05-26,Y
242,Joe0.551788380130133,Ng0.753960335680345,FR - France,2016-06-02,F,1987-04-01,Y
243,Koay0.997355226881906,Wei H0.956781207591192,FR - France,2016-06-02,,1991-11-23,N
244,Jun0.915837994901778,Juli0.0465546592564279,FR - France,2016-06-02,F,1980-09-20,Y
245,Jack0.0677517824800963,S0.693832999672615,FR - France,2016-06-02,,1965-05-05,Y
246,Gwe0.881196182588715,Guan 0.317930943543136,FR - France,2016-06-02,F,1984-10-08,N
247,YC0.07419948431004,Ngia0.694827222067096,FR - France,2016-06-02,F,2003-07-27,N
248,KC0.22514537907557,Tan0.662463855720801,FR - France,2016-06-02,M,1976-06-11,Y
249,Ch0.24058787590136,C0.38270072435195,FR - France,2016-06-02,F,2000-08-06,Y
250,Ch0.436046005677086,Li0.564899858421366,FR - France,2016-06-02,M,1975-10-08,Y
251,Hi0.0362218101059784,B0.303050063017529,FR - France,2016-06-02,M,2010-11-20,N
252,Monic0.104434484055647,L0.104646531512644,FR - France,2016-06-02,F,1988-11-21,Y
253,Lau0.575996367418657,So0.471333756298378,FR - France,2016-06-02,M,1968-12-08,N
254,Beh0.389486952703514,Lim0.185633050851678,FR - France,2016-06-02,F,2003-10-27,Y
255,Davi0.517840434497972,Picto0.897927378627103,FR - France,2016-06-02,,1987-07-16,N
256,Vince0.78241795130866,Tan0.662463855720801,FR - France,2016-06-02,F,1967-05-09,Y
257,Ke0.639844469747141,Ang0.128149197304773,FR - France,2016-06-02,M,1999-01-23,N
258,YS0.722933239396374,Y0.748969118135783,FR - France,2016-06-02,,1978-11-02,N
259,Racha0.515234691897708,Tai0.841375001009667,FR - France,2016-06-02,F,1974-06-29,N
260,S0.103726887737665,Sa0.96779072628109,FR - France,2016-06-02,,1973-05-04,Y
261,S0.137003895035928,Chang0.161981519433985,FR - France,2016-06-02,M,1981-05-07,Y
262,Ja0.64423582176929,W0.775201627445077,FR - France,2016-06-02,,1986-01-04,N
263,Ire0.494638290488119,W0.775201627445077,FR - France,2016-06-02,F,1965-02-01,N
264,S0.227115008960493,Am0.244143483242146,FR - France,2016-06-02,F,1984-05-19,N
265,Chr0.121619132258721,Chong0.0270662213414498,FR - France,2016-06-02,F,1969-09-04,Y
266,Ke0.348258040995125,Y0.88369497014745,FR - France,2016-06-02,,1981-10-17,Y
267,Fa0.0372470829935535,Low0.870500054610635,FR - France,2016-06-02,M,1966-11-01,Y
268,Kenn0.696494405500433,K0.44446911674222,FR - France,2016-06-02,F,2007-01-29,N
269,Ms0.57460246590252,Le0.59279128533981,FR - France,2016-06-02,,1990-11-02,Y
270,Ben0.860379439109261,Ewe0.178539530241361,FR - France,2016-06-02,M,2005-04-13,N
271,Joo0.149144230054524,L0.685484727350135,FR - France,2016-06-02,F,1989-07-08,N
272,Soon0.582077710618603,Y0.88369497014745,FR - France,2016-06-02,F,1986-07-15,N
273,Mr0.0886085403634447,Tan0.662463855720801,FR - France,2016-06-02,F,1982-10-14,N
274,Wa0.438187954874426,F0.594702192299067,FR - France,2016-06-02,F,1986-10-11,Y
275,Jes0.202814742842894,Jessi0.142294615306007,FR - France,2016-06-02,,1972-04-18,Y
276,Si0.850441241716096,Ken H0.012658023952535,FR - France,2016-06-02,F,1989-09-29,Y
277,Sam0.472911062541692,Lok0.566905780078188,FR - France,2016-06-02,M,2006-04-26,N
278,Yap0.735707148502177,L0.283753232462024,FR - France,2016-06-02,M,1999-11-07,N
279,Th0.182150816772445,Ya0.921133908847186,FR - France,2016-06-02,,2005-06-05,N
280,Poh0.421526553173381,C0.645496410668338,FR - France,2016-06-02,,1985-01-13,Y
281,Ben0.584513279296441,Ooi0.679136891606665,FR - France,2016-06-02,F,2005-07-12,Y
282,Mr0.0886085403634447,Erw0.499433109904891,FR - France,2016-06-02,F,1997-05-14,Y
283,Br0.211536486591651,Tan0.662463855720801,FR - France,2016-06-02,F,2004-10-25,N
284,Mano0.489172373428346,Haran0.244652659240224,FR - France,2016-06-02,,1970-12-16,Y
285,TS0.170058293940258,L0.104646531512644,FR - France,2016-06-02,F,2009-10-17,N
286,Kia0.423858586284988,Ee0.129954437943003,FR - France,2016-06-02,M,2001-02-27,N
287,SH0.524034562943823,Tay0.692175919031291,FR - France,2016-06-02,M,1995-03-11,Y
288,Wen0.776450494260289,Chu0.306978358145085,FR - France,2016-06-02,,2008-03-01,Y
289,C0.715247258072286,S0.0974191067432206,FR - France,2016-06-02,,1992-10-17,Y
290,Lau0.575996367418657,Ki0.0241011003285172,FR - France,2016-06-02,,1971-08-03,N
